,name,rating
0,SHIB,70
1,TRX,65
2,AVAX,85
3,TON,80
4,SOL,88
5,ADA,85
6,LINK,82
7,XRP,85
8,BCH,75
9,BNB,90
10,DOT,83
11,APT,68
12,SUI,65
13,LTC,78
14,NEAR,75
15,MNT,70
16,HBAR,68
17,TAO,65
18,FET,65
19,ICP,60
20,SEI,62
21,GRT,65
22,VET,70
23,POPCAT,35
24,THETA,60
25,PYTH,65
26,WLD,60
27,AR,60
28,JUP,58
29,OM,55
30,ONDO,55
31,ENA,60
32,HNT,55
33,KCS,60
34,LDO,70
35,FLOW,65
36,ALGO,68
37,JASMY,50
38,AXS,65
39,MKR,75
40,AERO,50
41,PENDLE,60
42,QNT,65
43,FLR,55
44,W,50
45,DYDX,65
46,NEO,55
47,EOS,50
48,ORDI,60
49,CFX,55
50,XTZ,60
51,MINA,55
52,RAY,50
53,CHZ,60
54,SUPER,50
55,CKB,50
56,EGLD,60
57,SAND,60
58,PYUSD,75
59,MANA,60
60,ZEC,55
61,EIGEN,55
62,PAXG,65
63,AIOZ,50
64,ZK,50
65,CAKE,60
66,BLUR,55
67,ENS,65
68,TUSD,65
69,LPT,55
70,CELO,60
71,SNX,65
72,ASTR,55
73,ZRO,50
74,IOTA,60
75,NFT,40
76,TFUEL,50
77,COMP,65
78,XDC,55
79,GMT,55
80,IOTX,50
81,KAVA,60
82,DOGS,35
83,ARKM,55
84,WOO,60
85,RSR,55
86,AMP,50
87,1INCH,60
88,ETHFI,55
89,GLM,50
90,AEVO,50
91,WEMIX,45
92,CRV,65
93,ZETA,55
94,ZRX,60
95,LUNA,50
96,ZIL,50
97,JST,45
98,DASH,60
99,JTO,55
100,MANTA,50
101,KSM,60
102,ANKR,55
103,GAS,50
104,SSV,55
105,HMSTR,40
106,RVN,50
107,SCR,40
108,METIS,55
109,QTUM,55
110,PONKE,40
111,UMA,55
112,POLYX,50
113,AVAIL,45
114,BDX,40
115,TURBO,35
116,ROOT,40
117,MASK,55
118,TRU,45
119,PBUX,35
120,DBR,40
121,OMNI,45
122,OSMO,55
123,TIME,40
124,SATS,50
125,BTC,100
126,XMR,70
127,ETH,95